raw_alt,region,source,titre,prix,surface_m2,rooms,localisation,code_postal,ville
MAISONS SESAME,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 248 089 € 5 pièces 3 chambres 87 m² 396 m² de terrain Le Plessis-Belleville 60330,Hauts-de-France,logicimmo,,248089.0,87.0,5.0,,,
"Appartement à vendre 273 000 € 3 pièces 2 chambres 69,5 m² 4 étages Capucins Compiègne 60200",Hauts-de-France,logicimmo,,273000.0,69.5,3.0,,,
"Appartement à vendre - neuf 139 900 € 2 pièces 42,5 m² Étage 1/6 dès le 31/12/2028 Gare Béthune 62400",Hauts-de-France,logicimmo,,139900.0,42.5,2.0,,,
Appartement à vendre - neuf 250 000 € 3 pièces 2 chambres 57 m² dès le 31/12/2027 Luzarches 95270,Hauts-de-France,logicimmo,,250000.0,57.0,3.0,,,
"Appartement à vendre - neuf 89 900 € 1 pièce 25,1 m² Étage 1/6 dès le 31/12/2028 Gare Béthune 62400",Hauts-de-France,logicimmo,,89900.0,25.1,1.0,,,
"Appartement à vendre - neuf 360 000 € 2 pièces 1 chambre 69,8 m² RDC Brigode-Ascq-Haute Borne Villeneuve-d'Ascq 59491",Hauts-de-France,logicimmo,,360000.0,69.8,2.0,,,
Appartement à vendre - neuf 277 000 € 3 pièces 67 m² 3ème étage dès le 31/03/2026 Le Paradis-Les Tertres Templeuve-en-Pévèle 59242,Hauts-de-France,logicimmo,,277000.0,67.0,3.0,,,
"Appartement à vendre - neuf 339 000 € 4 pièces 3 chambres 89,8 m² dès le 01/10/2026 Gare Bethune 62400",Hauts-de-France,logicimmo,,339000.0,89.8,4.0,,,
"Appartement à vendre - neuf 204 000 € 2 pièces 45,2 m² 2ème étage Ville Ancienne Étaples 62630",Hauts-de-France,logicimmo,,204000.0,45.2,2.0,,,
Terrain avec maison neuve à vendre 169 000 € 3 pièces 2 chambres 75 m² 548 m² de terrain Cappy 80340,Hauts-de-France,logicimmo,,169000.0,75.0,3.0,,,
Appartement à vendre - neuf 225 500 € 4 pièces 3 chambres 67 m² Montignette Pont-Sainte-Maxence 60700,Hauts-de-France,logicimmo,,225500.0,67.0,4.0,,,
Appartement à vendre - neuf 230 310 € 4 pièces 3 chambres 77 m² Centre République Armentieres 59280,Hauts-de-France,logicimmo,,230310.0,77.0,4.0,,,
Appartement à vendre 199 900 € 6 pièces 3 chambres 100 m² Étage 4/5 Valenciennes 59300,Hauts-de-France,logicimmo,,199900.0,100.0,6.0,,,
"Appartement à vendre - neuf 186 383 € 3 pièces 2 chambres 65,1 m² Étage 1/4 Centre République Armentières 59280",Hauts-de-France,logicimmo,,186383.0,65.1,3.0,,,
MAISONS SESAME,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 225 267 € 4 pièces 3 chambres 73 m² 210 m² de terrain Le Plessis-Belleville 60330,Hauts-de-France,logicimmo,,225267.0,73.0,4.0,,,
MAISONS SESAME,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 233 089 € 5 pièces 3 chambres 87 m² 210 m² de terrain Le Plessis-Belleville 60330,Hauts-de-France,logicimmo,,233089.0,87.0,5.0,,,
Maison de ville à vendre 167 900 € 4 pièces 3 chambres 84 m² 153 m² de terrain Centre Ville-Emonville Abbeville 80100,Hauts-de-France,logicimmo,,167900.0,84.0,4.0,,,
Appartement à vendre - neuf 205 000 € 2 pièces 1 chambre 39 m² dès le 31/12/2027 Luzarches 95270,Hauts-de-France,logicimmo,,205000.0,39.0,2.0,,,
"Terrain avec maison neuve à vendre 261 445 € 5 pièces 4 chambres 111,8 m² 595 m² de terrain Nord Sains-en-Gohelle 62114",Hauts-de-France,logicimmo,,261445.0,111.8,5.0,,,
Appartement à vendre - neuf 435 000 € 4 pièces 86 m² 4 étages dès le 01/10/2027 Foch Pasteur-Ecarts Wambrechies 59118,Hauts-de-France,logicimmo,,435000.0,86.0,4.0,,,
Appartement à vendre - neuf 350 000 € 3 pièces 2 chambres 60 m² dès le 31/03/2027 Stella Cucq 62780,Hauts-de-France,logicimmo,,350000.0,60.0,3.0,,,
"Appartement à vendre - neuf 138 029 € 2 pièces 38,8 m² 2ème étage Royallieu Compiegne 60200",Hauts-de-France,logicimmo,,138029.0,38.8,2.0,,,
"Appartement à vendre - neuf 146 000 € 2 pièces 1 chambre 39,8 m² 3ème étage Industriel Creil 60100",Hauts-de-France,logicimmo,,146000.0,39.8,2.0,,,
"Appartement à vendre - neuf 211 000 € 2 pièces 1 chambre 52,9 m² RDC Flocon Tourcoing 59200",Hauts-de-France,logicimmo,,211000.0,52.9,2.0,,,
"Terrain avec maison neuve à vendre 212 295 € 4 pièces 3 chambres 88,7 m² 622 m² de terrain Sailly-Lez-Cambrai 59554",Hauts-de-France,logicimmo,,212295.0,88.7,4.0,,,
Maison à vendre 106 000 € 9 pièces 7 chambres 212 m² 250 m² de terrain Parpeville 02240,Hauts-de-France,logicimmo,,106000.0,212.0,9.0,,,
"Terrain avec maison neuve à vendre 242 953 € 4 pièces 3 chambres 84,7 m² 504 m² de terrain Puiseux-le-Hauberger 60540",Hauts-de-France,logicimmo,,242953.0,84.7,4.0,,,
Appartement à vendre 215 000 € 3 pièces 2 chambres 72 m² Étage 1/2 Vallée Blanc Four Roncq 59223,Hauts-de-France,logicimmo,,215000.0,72.0,3.0,,,
Maison à vendre 137 000 € 5 pièces 3 chambres 133 m² 670 m² de terrain Hirson 02500,Hauts-de-France,logicimmo,,137000.0,133.0,5.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 225 500 € 3 pièces 2 chambres 78 m² 505 m² de terrain Cambronne-Lès-Clermont 60290,Hauts-de-France,logicimmo,,225500.0,78.0,3.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 243 500 € 4 pièces 3 chambres 100 m² 507 m² de terrain Cambronne-Lès-Clermont 60290,Hauts-de-France,logicimmo,,243500.0,100.0,4.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 267 900 € 5 pièces 4 chambres 133 m² 497 m² de terrain Arsy 60190,Hauts-de-France,logicimmo,,267900.0,133.0,5.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 269 900 € 5 pièces 4 chambres 133 m² 523 m² de terrain Bouconvillers 60240,Hauts-de-France,logicimmo,,269900.0,133.0,5.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 243 500 € 4 pièces 3 chambres 95 m² 505 m² de terrain Cambronne-Lès-Clermont 60290,Hauts-de-France,logicimmo,,243500.0,95.0,4.0,,,
Maison à vendre 310 000 € 6 pièces 4 chambres 105 m² 312 m² de terrain Nord et Ouest Pérenchies 59840,Hauts-de-France,logicimmo,,310000.0,105.0,6.0,,,
"Maison à vendre 62 000 € 2 pièces 1 chambre 54,5 m² Est Caudry 59540",Hauts-de-France,logicimmo,,62000.0,54.5,2.0,,,
"Maison à vendre 162 000 € 4 pièces 3 chambres 81,4 m² Ouest Trith-Saint-Léger 59125",Hauts-de-France,logicimmo,,162000.0,81.4,4.0,,,
"Appartement à vendre - neuf 134 429 € 2 pièces 46,2 m² 1er étage dès le 01/07/2027 Petite Synthe-Meunerie-Dessinguez Dunkerque 59640",Hauts-de-France,logicimmo,,134429.0,46.2,2.0,,,
"Appartement à vendre - neuf 190 000 € 2 pièces 1 chambre 46,5 m² Étage 2/4 Rive Gauche Haubourdin 59320",Hauts-de-France,logicimmo,,190000.0,46.5,2.0,,,
"Appartement à vendre - neuf 359 900 € 3 pièces 2 chambres 64,5 m² RDC/3 Centre Ville Wambrechies 59118",Hauts-de-France,logicimmo,,359900.0,64.5,3.0,,,
"Appartement à vendre - neuf 139 000 € 1 pièce 31,9 m² 2ème étage dès le 31/12/2026 Industriel Creil 60100",Hauts-de-France,logicimmo,,139000.0,31.9,1.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 238 900 € 4 pièces 3 chambres 95 m² 523 m² de terrain Bouconvillers 60240,Hauts-de-France,logicimmo,,238900.0,95.0,4.0,,,
MAISONS QUALITY,Hauts-de-France,logicimmo,,,,,,,
