address,lat,lon
"ORLEANS, 45000, France",47.9083827,1.9049331
"COLOMBELLES, 14460, France",49.2041204,-0.2972472
"HAVRE, 76620, France",49.4989079,0.1112116
"MER, 14360, France",,
"DOUVRES, 14440, France",49.2963189,-0.3752057
"DOUDEVILLE, 76560, France",49.7229361,0.7835886
"MUE, 14740, France",49.1962872,-0.5424107
"LOIRE, 45360, France",,
"COUDRES, 27220, France",48.8644335,1.2470672
"MONCHY, 76260, France",49.9951444,1.4515016
"LOUVIERS, 27400, France",49.2157245,1.1646335
"EVREUX, 27000, France",49.0268903,1.1510164
"ARGENCES, 14370, France",49.1270417,-0.1640626
"MONTVILLE, 76710, France",49.5479845,1.0750949
"SAINT, 76840, France",49.4329229,0.9701802
"SEINE, 78740, France",,
"L, 76280, France",49.4983134,0.1132065
"BUCHY, 76750, France",49.5843382,1.3583539
"VALLIQUERVILLE, 76190, France",49.614002,0.6835353
"EURE, 27530, France",49.0756358,0.9651829
"SCEAUX, 92330, France",48.7790592,2.2886619
"ROUTOT, 27350, France",49.3785626,0.7323269
"BUEIL, 27730, France",48.9301195,1.4415715
"VIEUX, 76160, France",,
"BRETTEVILLE, 14760, France",49.1655808,-0.4176272
"MER, 14830, France",,
"CAUX, 76730, France",49.7853769,0.9996404
"SAINT, 76800, France",49.3771726,1.1095372
"TOCQUEVILLE, 50330, France",49.6699118,-1.3380659
"SERQUIGNY, 27470, France",49.1094531,0.7143709
"ETREPAGNY, 27150, France",49.3065762,1.6110749
"EURE, 27780, France",49.0756358,0.9651829
"BOIS, 93600, France",45.6181402,0.318919
"ÉZY, 27530, France",48.8657529,1.4198704
"ELBEUF, 76500, France",49.2871086,1.0108998
"ROUVRAY, 76800, France",49.3831,1.09163
"MER, 14640, France",,
"LANESTER, 56600, France",47.7639726,-3.3444489
"YERVILLE, 76760, France",49.6688705,0.8974236
"MONTIVILLIERS, 76290, France",49.5457966,0.1920827
"BEAUMONT, 27170, France",,
