region,source,raw_alt,titre,localisation,prix_extracted,surface_m2_extracted,rooms_extracted,code_postal_extracted,ville_extracted_cleaned,commune_from_cp,ville_finale,marche_neuf_ancien,price_m2,nom_commune,code_insee
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 299 000 € 2 pièces 1 chambre 53,1 m² RDC/3 Centre Ville Wambrechies 59118",,,299000.0,53.1,2.0,59118,WAMBRECHIES,WAMBRECHIES,WAMBRECHIES,neuf,5630.885122410546,WAMBRECHIES,59636
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 173 400 € 2 pièces 1 chambre 41,5 m² dès le 30/06/2026 Centre-Plat Vinage Roncq 59223",,,173400.0,41.5,2.0,59223,RONCQ,RONCQ,RONCQ,neuf,4178.313253012048,RONCQ,59508
Hauts-de-France,logicimmo,Appartement à vendre 249 000 € 4 pièces 3 chambres 86 m² Étage 2/8 Vauban Esquermes Lille 59000,,,249000.0,86.0,4.0,59000,LILLE,LILLE,LILLE,ancien,2895.3488372093025,LILLE,59350
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 1 320 000 € 4 pièces 3 chambres 92,9 m² 2ème étage Littoral Le Touquet-Paris-Plage 62520",,,1320000.0,92.9,4.0,62520,TOUQUET,LE TOUQUET PARIS PLAGE,LE TOUQUET PARIS PLAGE,neuf,14208.826695371366,LE TOUQUET PARIS PLAGE,62826
Hauts-de-France,logicimmo,Appartement à vendre - neuf 470 000 € 4 pièces 3 chambres 75 m² dès le 31/03/2027 Stella Cucq 62780,,,470000.0,75.0,4.0,62780,CUCQ,CUCQ,CUCQ,neuf,6266.666666666667,CUCQ,62261
Hauts-de-France,logicimmo,"Maison de ville à vendre 275 000 € 5 pièces 4 chambres 134,5 m² 127 m² de terrain Ancien Mons Mons-en-Baroeul 59370",,,275000.0,134.5,5.0,59370,MONS,MONS EN BAROEUL,MONS EN BAROEUL,ancien,2044.6096654275093,MONS EN BAROEUL,59410
Hauts-de-France,logicimmo,"Appartement à vendre 1 200 000 € 7 pièces 4 chambres 281,4 m² RDC/1 Centre Lille 59000",,,1200000.0,281.4,7.0,59000,LILLE,LILLE,LILLE,ancien,4264.392324093817,LILLE,59350
Hauts-de-France,logicimmo,Terrain avec maison neuve à vendre 240 267 € 4 pièces 3 chambres 73 m² 396 m² de terrain Le Plessis-Belleville 60330,,,240267.0,73.0,4.0,60330,PLESSIS,EVE,EVE,ancien,3291.328767123288,EVE,60226
Hauts-de-France,logicimmo,Terrain avec maison neuve à vendre 248 089 € 5 pièces 3 chambres 87 m² 396 m² de terrain Le Plessis-Belleville 60330,,,248089.0,87.0,5.0,60330,PLESSIS,EVE,EVE,ancien,2851.597701149425,EVE,60226
Hauts-de-France,logicimmo,"Appartement à vendre 273 000 € 3 pièces 2 chambres 69,5 m² 4 étages Capucins Compiègne 60200",,,273000.0,69.5,3.0,60200,COMPIÈGNE,COMPIEGNE,COMPIEGNE,ancien,3928.0575539568345,COMPIEGNE,60159
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 139 900 € 2 pièces 42,5 m² Étage 1/6 dès le 31/12/2028 Gare Béthune 62400",,,139900.0,42.5,2.0,62400,BÉTHUNE,BETHUNE,BETHUNE,neuf,3291.764705882353,BETHUNE,62119
Hauts-de-France,logicimmo,Appartement à vendre - neuf 250 000 € 3 pièces 2 chambres 57 m² dès le 31/12/2027 Luzarches 95270,,,250000.0,57.0,3.0,95270,LUZARCHES,ASNIERES SUR OISE,ASNIERES SUR OISE,neuf,4385.964912280701,ASNIERES SUR OISE,95026
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 89 900 € 1 pièce 25,1 m² Étage 1/6 dès le 31/12/2028 Gare Béthune 62400",,,89900.0,25.1,1.0,62400,BÉTHUNE,BETHUNE,BETHUNE,neuf,3581.6733067729083,BETHUNE,62119
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 360 000 € 2 pièces 1 chambre 69,8 m² RDC Brigode-Ascq-Haute Borne Villeneuve-d'Ascq 59491",,,360000.0,69.8,2.0,59491,VILLENEUVE,VILLENEUVE D ASCQ,VILLENEUVE D ASCQ,neuf,5157.593123209169,VILLENEUVE D ASCQ,59009
Hauts-de-France,logicimmo,Appartement à vendre - neuf 277 000 € 3 pièces 67 m² 3ème étage dès le 31/03/2026 Le Paradis-Les Tertres Templeuve-en-Pévèle 59242,,,277000.0,67.0,3.0,59242,TEMPLEUVE,CAPPELLE EN PEVELE,CAPPELLE EN PEVELE,neuf,4134.328358208955,CAPPELLE EN PEVELE,59129
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 339 000 € 4 pièces 3 chambres 89,8 m² dès le 01/10/2026 Gare Bethune 62400",,,339000.0,89.8,4.0,62400,BETHUNE,BETHUNE,BETHUNE,neuf,3775.0556792873053,BETHUNE,62119
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 204 000 € 2 pièces 45,2 m² 2ème étage Ville Ancienne Étaples 62630",,,204000.0,45.2,2.0,62630,ÉTAPLES,CORMONT,CORMONT,neuf,4513.274336283185,CORMONT,62241
Hauts-de-France,logicimmo,Terrain avec maison neuve à vendre 169 000 € 3 pièces 2 chambres 75 m² 548 m² de terrain Cappy 80340,,,169000.0,75.0,3.0,80340,CAPPY,BRAY SUR SOMME,BRAY SUR SOMME,ancien,2253.3333333333335,BRAY SUR SOMME,80136
Hauts-de-France,logicimmo,Appartement à vendre - neuf 225 500 € 4 pièces 3 chambres 67 m² Montignette Pont-Sainte-Maxence 60700,,,225500.0,67.0,4.0,60700,PONT,LES AGEUX,LES AGEUX,neuf,3365.6716417910447,LES AGEUX,60006
Hauts-de-France,logicimmo,Appartement à vendre - neuf 230 310 € 4 pièces 3 chambres 77 m² Centre République Armentieres 59280,,,230310.0,77.0,4.0,59280,ARMENTIERES,ARMENTIERES,ARMENTIERES,neuf,2991.038961038961,ARMENTIERES,59017
Hauts-de-France,logicimmo,Appartement à vendre 199 900 € 6 pièces 3 chambres 100 m² Étage 4/5 Valenciennes 59300,,,199900.0,100.0,6.0,59300,VALENCIENNES,AULNOY LEZ VALENCIENNES,AULNOY LEZ VALENCIENNES,ancien,1999.0,AULNOY LEZ VALENCIENNES,59032
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 186 383 € 3 pièces 2 chambres 65,1 m² Étage 1/4 Centre République Armentières 59280",,,186383.0,65.1,3.0,59280,ARMENTIÈRES,ARMENTIERES,ARMENTIERES,neuf,2863.026113671275,ARMENTIERES,59017
Hauts-de-France,logicimmo,Terrain avec maison neuve à vendre 225 267 € 4 pièces 3 chambres 73 m² 210 m² de terrain Le Plessis-Belleville 60330,,,225267.0,73.0,4.0,60330,PLESSIS,EVE,EVE,ancien,3085.849315068493,EVE,60226
Hauts-de-France,logicimmo,Terrain avec maison neuve à vendre 233 089 € 5 pièces 3 chambres 87 m² 210 m² de terrain Le Plessis-Belleville 60330,,,233089.0,87.0,5.0,60330,PLESSIS,EVE,EVE,ancien,2679.183908045977,EVE,60226
Hauts-de-France,logicimmo,Maison de ville à vendre 167 900 € 4 pièces 3 chambres 84 m² 153 m² de terrain Centre Ville-Emonville Abbeville 80100,,,167900.0,84.0,4.0,80100,ABBEVILLE,ABBEVILLE,ABBEVILLE,ancien,1998.8095238095239,ABBEVILLE,80001
Hauts-de-France,logicimmo,Appartement à vendre - neuf 205 000 € 2 pièces 1 chambre 39 m² dès le 31/12/2027 Luzarches 95270,,,205000.0,39.0,2.0,95270,LUZARCHES,ASNIERES SUR OISE,ASNIERES SUR OISE,neuf,5256.410256410257,ASNIERES SUR OISE,95026
Hauts-de-France,logicimmo,"Terrain avec maison neuve à vendre 261 445 € 5 pièces 4 chambres 111,8 m² 595 m² de terrain Nord Sains-en-Gohelle 62114",,,261445.0,111.8,5.0,62114,SAINS,SAINS EN GOHELLE,SAINS EN GOHELLE,ancien,2338.5062611806798,SAINS EN GOHELLE,62737
Hauts-de-France,logicimmo,Appartement à vendre - neuf 435 000 € 4 pièces 86 m² 4 étages dès le 01/10/2027 Foch Pasteur-Ecarts Wambrechies 59118,,,435000.0,86.0,4.0,59118,WAMBRECHIES,WAMBRECHIES,WAMBRECHIES,neuf,5058.139534883721,WAMBRECHIES,59636
Hauts-de-France,logicimmo,Appartement à vendre - neuf 350 000 € 3 pièces 2 chambres 60 m² dès le 31/03/2027 Stella Cucq 62780,,,350000.0,60.0,3.0,62780,CUCQ,CUCQ,CUCQ,neuf,5833.333333333333,CUCQ,62261
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 138 029 € 2 pièces 38,8 m² 2ème étage Royallieu Compiegne 60200",,,138029.0,38.8,2.0,60200,COMPIEGNE,COMPIEGNE,COMPIEGNE,neuf,3557.4484536082477,COMPIEGNE,60159
